Name,CRISIL Score (Lagging),Published Date,AI Sentiment Score (Leading),Composite Score
NELCO LIMITED,57,2025-07-03,58,58
HFCL LIMITED,55,2025-09-23,62,58
TATA ELXSI LIMITED,66,2025-06-27,58,62
ADANI TOTAL GAS LIMITED,61,2025-07-03,61,61
DODLA DAIRY LIMITED,55,2025-07-11,59,57
KEC INTERNATIONAL LIMITED,57,2025-08-08,60,58
NATIONAL HIGHWAYS AUTHORITY OF INDIA,33,2025-10-20,53,43
TATA CONSUMER PRODUCTS LIMITED,61,2025-06-12,61,61
NAVIN FLUORINE INTERNATIONAL LIMITED,56,2025-08-18,42,49
NARAYANA HRUDAYALAYA LIMITED,56,2025-09-16,56,56
BOMBAY DYEING & MANUFACTURING COMPANY LIMITED,50,2025-08-11,50,50
ADF FOODS LIMITED,49,2025-08-08,52,50
ALLCARGO LOGISTICS LIMITED,52,2025-10-10,53,52
NATCO PHARMA LIMITED,59,2025-10-08,50,54
THE RAMCO CEMENTS LIMITED,54,2025-08-22,85,70
SOLAR INDUSTRIES INDIA LIMITED,48,2025-09-12,59,54
HBL ENGINEERING LIMITED,54,2025-09-25,54,54
MOLD-TEK PACKAGING LIMITED,55,2025-10-16,50,52
HLE GLASCOAT LIMITED,51,2025-10-14,52,52
MAZAGON DOCK SHIPBUILDERS LIMITED,53,2025-10-07,50,52
